filename,xmin,ymin,xmax,ymax,class,width,height
train_0.jpg,208,537,422,814,object,3024,3024
train_0.jpg,1268,1923,1365,2209,object,3024,3024
train_0.jpg,1135,2074,1261,2166,object,3024,3024
train_0.jpg,1045,2085,1122,2258,object,3024,3024
train_0.jpg,976,2036,1040,2177,object,3024,3024
train_0.jpg,863,2048,937,2194,object,3024,3024
train_0.jpg,772,2097,843,2244,object,3024,3024
train_0.jpg,659,2157,724,2222,object,3024,3024
train_0.jpg,568,2066,645,2198,object,3024,3024
train_0.jpg,488,2097,558,2257,object,3024,3024
train_0.jpg,413,2093,481,2259,object,3024,3024
train_0.jpg,367,2082,406,2259,object,3024,3024
train_0.jpg,280,2082,366,2248,object,3024,3024
train_0.jpg,204,2097,276,2241,object,3024,3024
train_0.jpg,83,2017,185,2247,object,3024,3024
train_0.jpg,3,1741,71,1944,object,3024,3024
train_0.jpg,1128,1737,1213,1929,object,3024,3024
train_0.jpg,1033,1665,1120,1847,object,3024,3024
train_0.jpg,1120,6,1269,265,object,3024,3024
train_0.jpg,1048,91,1115,262,object,3024,3024
train_0.jpg,954,142,1049,261,object,3024,3024
train_0.jpg,833,91,942,257,object,3024,3024
train_0.jpg,651,23,754,273,object,3024,3024
train_0.jpg,522,30,651,271,object,3024,3024
train_0.jpg,1370,1774,1488,2210,object,3024,3024
train_0.jpg,356,1,472,261,object,3024,3024
train_0.jpg,114,4,236,261,object,3024,3024
train_0.jpg,8,15,111,262,object,3024,3024
train_0.jpg,378,1680,506,1894,object,3024,3024
train_0.jpg,704,1665,813,1827,object,3024,3024
train_0.jpg,814,1749,912,1942,object,3024,3024
train_0.jpg,923,1722,1014,1905,object,3024,3024
train_0.jpg,235,4,356,263,object,3024,3024
train_0.jpg,1491,1771,1615,2188,object,3024,3024
train_0.jpg,1620,1862,1717,2233,object,3024,3024
train_0.jpg,1718,2013,1888,2224,object,3024,3024
train_0.jpg,1018,2464,1188,2838,object,3024,3024
train_0.jpg,1204,2290,1323,2585,object,3024,3024
train_0.jpg,1328,2475,1484,2840,object,3024,3024
train_0.jpg,1484,2406,1615,2839,object,3024,3024
train_0.jpg,1624,2324,1755,2677,object,3024,3024
train_0.jpg,1764,2339,1920,2757,object,3024,3024
train_0.jpg,897,2418,1017,2827,object,3024,3024
train_0.jpg,1923,2331,2079,2759,object,3024,3024
train_0.jpg,2259,2585,2414,2832,object,3024,3024
train_0.jpg,2199,2286,2346,2446,object,3024,3024
train_0.jpg,2415,2494,2522,2659,object,3024,3024
train_0.jpg,2615,2577,2767,2788,object,3024,3024
train_0.jpg,2664,2275,2775,2508,object,3024,3024
train_0.jpg,439,534,683,821,object,3024,3024
train_0.jpg,2089,2396,2185,2670,object,3024,3024
train_0.jpg,1272,4,1425,279,object,3024,3024
train_0.jpg,795,2418,890,2835,object,3024,3024
